,year,name,project_title,category,fair_country,fair_state,fair_province,awards,project_abstract_link,won_awards,num_awards
0,2014,"Kitaoka, Robert",Dynamic Response of a Human Neck Replica to Axial-Compression Impact Loading,Energy: Physical,United States of America,MN,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13244,False,0
1,2014,"Swan, Boston",The Effect of Nutrient Solution Concentration on Hydroponic Spinach Plants,Physics and Astronomy,United States of America,UT,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13245,False,0
2,2014,"Ham, John",Do Air Root Pruning Pots Accelerate Success in a No-Till Garden?,Physics and Astronomy,United States of America,LA,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13246,False,0
3,2014,"Huh, Heeyong",Insect-repelling Plants &amp; New Organic Pesticide,Environmental Engineering,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13247,False,0
4,2014,"Ince, Lucas",How Do Different Factors Affect the Accuracy of Neural Networks in the Binary Decision Making of Cancer Detection?,Earth and Environmental Sciences,United States of America,MN,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13248,False,0
5,2014,"Suri, Mokshin (School: Hilo High School)",Dye Sensitized Solar Cells: New Structures and Components for Greater Efficiency,Engineering Mechanics,United States of America,TX,,['Fourth Award of $500'],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13249,True,1
6,2014,"Park, Hunter (School: Henry J. Kaiser High School)",A Novel Method for Determination of Camera Pose Estimation Based on Angle Constraints,Embedded Systems,United States of America,MO,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13250,False,0
7,2014,"Kim, Min Sung
                                        <br>
                                     Sturm, Matthew",Observational Detection of Solar g-mode Oscillations Using Doppler Velocity Signals,Microbiology,United States of America,HI,,"['Third Award of $1,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13251,True,1
8,2014,"DSouza, Alicia (School: Umm Al-Alaa Al-Nasarrie High School)
                                        <br>
                                     Hong, Jessica",Synthesis of Periodic Mesoporous Organosilicas (PMOs) for Radiotherapeutic and Chemotherapeutic Treatments,Plant Sciences,United States of America,TX,,"['Second Award of $2,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13252,True,1
9,2014,"Thakor, Nirali","A Novel Mathematical Simulation to Study the Dynamics of CD4 Cells, CD8 Cells, and HIV Viral Load",Materials Science,United States of America,TX,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13253,False,0
10,2014,"Camps, Garrett (School: Omar Bin Abdulaiz Independent Secondary School for Boys)",A Novel Approach to Solar Desalination Using Nanopaticles,Plant Sciences,United States of America,FL,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13255,False,0
11,2014,"Vemulapalli, Anoop (School: Hilo High School)",Enhanced Third-Generation Biofuel Production from Genetically Modified Algae,Systems Software,United States of America,TX,,"['Third Award of $1,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13256,True,1
12,2014,"Mohanty, Ahneesh",The Use of MnSOD in Combined Modality Therapy to Sensitize Lung Cancer Cells to Ionizing Radiation and Chemotherapy,Mathematics,United States of America,TX,,"['Second Award of $2,000']",https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13257,True,1
13,2014,"Cejas, Nicole
                                        <br>
                                     Orozco, Magenta May
                                        <br>
                                     Sibay, Lea",Bioremediation of Diesel Oil Contamination Using Bacillus Found in Palm Oil Sludge,Engineering Mechanics,Philippines,,,[],https://abstracts.societyforscience.org/Home/FullAbstract?ProjectId=13258,False,0
